@VIRTUESFLAWS
	WANDERER, 0, 1
	COVENFOLK, 0, 1
	FREEMAN, 0, 1
	FAILED_APPRENTICE, 1, 1
	MENDICANT, 1, 1
	PETTY_MERCHANT, 1, 1
	WISE_ONE, 1, 1
	PROSPEROUS_PEASANT, 1, 1
	KNIGHT_ERRANT, 2, 1
	LESSER_NOBLE, 2, 1
	MERCENARY, 2, 1
	MAGISTER_IN_ARTIBUS, 3, 1
	PRIEST, 3, 1
	WEALTHY_MERCHANT, 3, 1
	LANDED_KNIGHT, 5, 1
	BRANDED_CRIMINAL, -1, 1
	OUTCAST, -1, 1
	OUTLAW_LEADER, -2, 1
	INFAMOUS_OUTLAW, -4, 1
	ENDURING_CONSTITUTION, 1, 2
	LARGE, 1, 2
	LONG_WINDED, 1, 2
	RAPID_CONVALESCENCE, 1, 2
	TOUGH, 1, 2
	GIANT_BLOOD, 2, 2
	DISFIGURED, -1, 2
	EVIL_EYE, -1, 2
	FRAGILE_CONSTITUTION, -1, 2
	MISSING_EAR, -1, 2
	MISSING_EYE, -1, 2
	OBESE, -1, 2
	CLUMSY, -2, 2
	DECREPIT, -2, 2
	HUNCHBACK, -2, 2
	LAME, -2, 2
	MISSING_HAND, -2, 2
	SMALL_FRAME, -2, 2
	ARTHRITIS, -3, 2
	MUTE, -3, 2
	DWARF, -4, 2
	AGE_QUICKLY, -5, 2
	BLIND, -5, 2
	ENFEEBLED, -5, 2
	AMBIDEXTROUS, 1, 3
	CAREFREE, 1, 3
	CLEAR_THINKER, 1, 3
	FREE_EXPRESSION, 1, 3
	INSPIRATIONAL, 1, 3
	KEEN_VISION, 1, 3
	LIGHT_SLEEPER, 1, 3
	MAGIC_RESISTANCE, 1, 3
	PERFECT_BALANCE, 1, 3
	PIERCING_GAZE, 1, 3
	SHARP_EARS, 1, 3
	STRONG_WILLED, 1, 3
	TROUPE_UPBRINGING, 1, 3
	VENUS_BLESSING, 1, 3
	WELL_TRAVELED, 1, 3
	WITHSTANDING_MAGIC, 1, 3
	LIGHTNING_REFLEXES, 2, 3
	LIGHT_TOUCH, 2, 3
	WAYS_OF_THE_LAND, 4, 3
	DEEP_SLEEPER, -1, 3
	MAGICAL_AIR, -1, 3
	MAGIC_SUSPECTIBILITY, -1, 3
	POOR_EYESIGHT, -1, 3
	POOR_HEARING, -1, 3
	WEAK_WILLED, -1, 3
	NONCOMBATANT, -3, 3
	BOOK_LEARNER, 1, 4
	EDUCATED, 1, 4
	FURTHER_EDUCATION, 1, 4
	LOW_SELFESTEEM, 1, 4
	SELF_CONFIDENT, 1, 4
	VETERAN, 1, 4
	JACK_OF_ALL_TRADES, 2, 4
	TRAINING, 2, 4
	FAST_LEARNER, 3, 4
	HIGHLY_TRAINED, 3, 4
	SHORT_ATTENTION_SPAN, -1, 4
	GREAT_CHARACTERISTIC_INTELLIGENCE, 2, 5
	GREAT_CHARACTERISTIC_PERCEPTION, 2, 5
	GREAT_CHARACTERISTIC_STRENGTH, 2, 5
	GREAT_CHARACTERISTIC_STAMINA, 2, 5
	GREAT_CHARACTERISTIC_PRESENCE, 2, 5
	GREAT_CHARACTERISTIC_COMMUNICATION, 2, 5
	GREAT_CHARACTERISTIC_DEXTERITY, 2, 5
	GREAT_CHARACTERISTIC_QUICKNESS, 2, 5
	INCREDIBLE_CHARACTERISTIC_INTELLIGENCE, 4, 5
	INCREDIBLE_CHARACTERISTIC_PERCEPTION, 4, 5
	INCREDIBLE_CHARACTERISTIC_STRENGTH, 4, 5
	INCREDIBLE_CHARACTERISTIC_STAMINA, 4, 5
	INCREDIBLE_CHARACTERISTIC_PRESENCE, 4, 5
	INCREDIBLE_CHARACTERISTIC_COMMUNICATION, 4, 5
	INCREDIBLE_CHARACTERISTIC_DEXTERITY, 4, 5
	INCREDIBLE_CHARACTERISTIC_QUICKNESS, 4, 5
	MYTHIC_CHARACTERISTIC_INTELLIGENCE, 5, 5
	MYTHIC_CHARACTERISTIC_PERCEPTION, 5, 5
	MYTHIC_CHARACTERISTIC_STRENGTH, 5, 5
	MYTHIC_CHARACTERISTIC_STAMINA, 5, 5
	MYTHIC_CHARACTERISTIC_PRESENCE, 5, 5
	MYTHIC_CHARACTERISTIC_COMMUNICATION, 5, 5
	MYTHIC_CHARACTERISTIC_DEXTERITY, 5, 5
