@STRINGS
	@ENGLISH
		"WANDERER" = "Wanderer"
		"COVENFOLK" = "Covenfolk"
		"FREEMAN" = "FREEMAN"
		"FAILED_APPRENTICE" = "FAILED_APPRENTICE"
		"MENDICANT" = "MENDICANT"
		"PETTY_MERCHANT" = "PETTY_MERCHANT"
		"WISE_ONE" = "WISE_ONE"
		"PROSPEROUS_PEASANT" = "PROSPEROUS_PEASANT"
		"KNIGHT_ERRANT" = "KNIGHT_ERRANT"
		"LESSER_NOBLE" = "LESSER_NOBLE"
		"MERCENARY" = "MERCENARY"
		"MAGISTER_IN_ARTIBUS" = "MAGISTER_IN_ARTIBUS"
		"PRIEST" = "PRIEST"
		"WEALTHY_MERCHANT" = "WEALTHY_MERCHANT"
		"LANDED_KNIGHT" = "LANDED_KNIGHT"
		"BRANDED_CRIMINAL" = "BRANDED_CRIMINAL"
		"OUTCAST" = "OUTCAST"
		"OUTLAW_LEADER" = "OUTLAW_LEADER"
		"INFAMOUS_OUTLAW" = "INFAMOUS_OUTLAW"
		"ENDURING_CONSTITUTION" = "ENDURING_CONSTITUTION"
		"LARGE" = "LARGE"
		"LONG_WINDED" = "LONG_WINDED"
		"RAPID_CONVALESCENCE" = "RAPID_CONVALESCENCE"
		"TOUGH" = "TOUGH"
		"GIANT_BLOOD" = "GIANT_BLOOD"
		"DISFIGURED" = "DISFIGURED"
		"EVIL_EYE" = "EVIL_EYE"
		"FRAGILE_CONSTITUTION" = "FRAGILE_CONSTITUTION"
		"MISSING_EAR" = "MISSING_EAR"
		"MISSING_EYE" = "MISSING_EYE"
		"OBESE" = "OBESE"
		"CLUMSY" = "CLUMSY"
		"DECREPIT" = "DECREPIT"
		"HUNCHBACK" = "HUNCHBACK"
		"LAME" = "LAME"
		"MISSING_HAND" = "MISSING_HAND"
		"SMALL_FRAME" = "SMALL_FRAME"
		"ARTHRITIS" = "ARTHRITIS"
		"MUTE" = "MUTE"
		"DWARF" = "DWARF"
		"AGE_QUICKLY" = "AGE_QUICKLY"
		"BLIND" = "BLIND"
		"ENFEEBLED" = "ENFEEBLED"
		"AMBIDEXTROUS" = "AMBIDEXTROUS"
		"CAREFREE" = "CAREFREE"
		"CLEAR_THINKER" = "CLEAR_THINKER"
		"FREE_EXPRESSION" = "FREE_EXPRESSION"
		"INSPIRATIONAL" = "INSPIRATIONAL"
		"KEEN_VISION" = "KEEN_VISION"
		"LIGHT_SLEEPER" = "LIGHT_SLEEPER"
		"MAGIC_RESISTANCE" = "MAGIC_RESISTANCE"
		"PERFECT_BALANCE" = "PERFECT_BALANCE"
		"PIERCING_GAZE" = "PIERCING_GAZE"
		"SHARP_EARS" = "SHARP_EARS"
		"STRONG_WILLED" = "STRONG_WILLED"
		"TROUPE_UPBRINGING" = "TROUPE_UPBRINGING"
		"VENUS_BLESSING" = "VENUS_BLESSING"
		"WELL_TRAVELED" = "WELL_TRAVELED"
		"WITHSTANDING_MAGIC" = "WITHSTANDING_MAGIC"
		"LIGHTNING_REFLEXES" = "LIGHTNING_REFLEXES"
		"LIGHT_TOUCH" = "LIGHT_TOUCH"
		"WAYS_OF_THE_LAND" = "WAYS_OF_THE_LAND"
		"DEEP_SLEEPER" = "DEEP_SLEEPER"
		"MAGICAL_AIR" = "MAGICAL_AIR"
		"MAGIC_SUSPECTIBILITY" = "MAGIC_SUSPECTIBILITY"
		"POOR_EYESIGHT" = "POOR_EYESIGHT"
		"POOR_HEARING" = "POOR_HEARING"
		"WEAK_WILLED" = "WEAK_WILLED"
		"NONCOMBATANT" = "NONCOMBATANT"
		"BOOK_LEARNER" = "BOOK_LEARNER"
		"EDUCATED" = "EDUCATED"
		"FURTHER_EDUCATION" = "FURTHER_EDUCATION"
		"LOW_SELFESTEEM" = "LOW_SELFESTEEM"
		"SELF_CONFIDENT" = "SELF_CONFIDENT"
		"VETERAN" = "VETERAN"
		"JACK_OF_ALL_TRADES" = "JACK_OF_ALL_TRADES"
		"TRAINING" = "TRAINING"
		"FAST_LEARNER" = "FAST_LEARNER"
		"HIGHLY_TRAINED" = "HIGHLY_TRAINED"
		"SHORT_ATTENTION_SPAN" = "SHORT_ATTENTION_SPAN"
		"GREAT_CHARACTERISTIC_INTELLIGENCE" = "GREAT_CHARACTERISTIC_INTELLIGENCE"
		"GREAT_CHARACTERISTIC_PERCEPTION" = "GREAT_CHARACTERISTIC_PERCEPTION"
		"GREAT_CHARACTERISTIC_STRENGTH" = "GREAT_CHARACTERISTIC_STRENGTH"
		"GREAT_CHARACTERISTIC_STAMINA" = "GREAT_CHARACTERISTIC_STAMINA"
		"GREAT_CHARACTERISTIC_PRESENCE" = "GREAT_CHARACTERISTIC_PRESENCE"
		"GREAT_CHARACTERISTIC_COMMUNICATION" = "GREAT_CHARACTERISTIC_COMMUNICATION"
		"GREAT_CHARACTERISTIC_DEXTERITY" = "GREAT_CHARACTERISTIC_DEXTERITY"
		"GREAT_CHARACTERISTIC_QUICKNESS" = "GREAT_CHARACTERISTIC_QUICKNESS"
